// range 230¿¡ scope 170ÀÌ º¸Åë¸Ê ¼³Á¤
// range_IN : ¸Ê¿¡ ÁøÀÔ½Ã range

// rotationFrom -360 , To : 360 ÀÌ º¸Åë¸Ê ¼³Á¤
// rotation_IN :  ¸Ê¿¡ ÁøÀÔ½Ã rotation_IN À¸·Î ÁøÀÔ

// altitudeFrom -50 , To : -65 ÀÌ º¸Åë¸Ê ¼³Á¤ 
//              -25 ´Â º¸Åë¸ÊÀÇ ÃÖ´ëÇã¿ë¹üÀ§
// altitude_IN : ¸Ê¿¡ ÁøÀÔ½Ã altitude_INÀ¸·Î ÁøÀÔ

//nome do mapa  zoom_MIN zoomMAX  zoomENTRADA(melhor deixar <= zoom_MIN + zoom_MAX)           
// ¸Ê ÀÌ¸§ 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_map02.rsw#	250#	400#	699#		-360#		360#		0#		-50#		-65#		-65#


////  instancias ////
kh_vila.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
auction_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
auction_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_job01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
abyss_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
abyss_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
abyss_03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tha_t12.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
thana_step.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
thana_boss.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
thana_scene01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_soul.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_star.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
quiz_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_cave.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
juperos_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
juperos_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_gate.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_area1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_area2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_ele.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_ele_r.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_core.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lighthalzen.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_in03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_cube.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_que01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_airport.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
airplane_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_pre.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
y_airport.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lhz_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
airplane.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
airport.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
einbech.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
einbroch.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_e_16.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_e_8.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_e_4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_n_16.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_n_8.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_n_4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_n_1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
turbo_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild12.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ayo_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ayo_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ayo_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ayo_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ayo_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ayo_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ayothaya.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_god02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_god01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
quiz_test.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefenia04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefenia03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefenia02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefenia01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
himinn.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jawaii_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jawaii.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lou_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lou_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lou_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lou_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lou_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lou_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
louyang.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
valkyrie.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nif_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yggdrasil01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nif_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nif_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
niflheim.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
um_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
um_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
um_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
um_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
um_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
um_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
um_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
umbala.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
sec_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
sec_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
sec_pri.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gon_test.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gon_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gon_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gon_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gon_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gon_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gonryun.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ama_test.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ama_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ama_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ama_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ama_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ama_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ama_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
amatsu.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alde_alche.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_in05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_in04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_duncer.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_sage.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_cru.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_monk.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
monk_test.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_rogue.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mag_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mag_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_in03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_wiz.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_prist.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_knt.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_hunte.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld_dun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payg_cas05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payg_cas04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payg_cas03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payg_cas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payg_cas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_gld.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aldeg_cas05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aldeg_cas04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aldeg_cas03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aldeg_cas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aldeg_cas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alde_gld.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefg_cas05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefg_cas04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefg_cas03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefg_cas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gefg_cas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prtg_cas05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prtg_cas04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prtg_cas03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prtg_cas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prtg_cas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_gld.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tur_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tur_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tur_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tur_dun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tur_dun05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
tur_dun06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
guild_vs3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
guild_vs2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
guild_vs1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
guild_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
quiz_00.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
quiz_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild12.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild13.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild14.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
comodo.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
beach_dun.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
beach_dun2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
beach_dun3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cmd_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

xmas_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
xmas_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
xmas_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
xmas.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjolnir_12.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild00.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_monk.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild00.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_orcs01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_fild11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild12.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild13.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild14.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild15.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild16.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_moc_16.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild17.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild18.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild19.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_fild11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_4-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_5-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_1-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_2-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_3-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_4-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_5-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_1-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_2-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_3-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_4-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_5-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_1-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_2-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_3-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_4-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
new_5-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
anthell01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
anthell02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_dun00.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun00.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

in_sphinx1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_sphinx2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_sphinx3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_sphinx4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_sphinx5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_pryd01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_pryd02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_pryd03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
